NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA,Date,Rate
Jamaica Estates,Queens,9835,23,No,2023-06-26,13815000,6110,47.0,Interior ,R7A,,,,DJ,VIH,3.44,27317,88,2023-06-26,5.0
Hunts Point,The Bronx,2769,"5, 10",Yes,2023-06-26,4075000,17500,275.0,Corner,M1-2,,,,HP,,2.0,35000,116,2023-06-26,5.0
Gravesend,Brooklyn,6658,"86, 1, 84",Yes,2023-06-26,2400000,25909,331.34,Corner,R7A,R5,C2-4,,OP,MIH,,98019,141,2023-06-26,5.0
Jamaica,Queens,10323,6,No,2023-06-23,1250000,7352,174.92,Corner,M1-2,,,,,,2.0,14704,85,2023-06-23,5.0
Mount Hope,The Bronx,2814,48,No,2023-06-22,1400000,4064,135.16,Corner,R7-1,,,,,,3.44,35549,39,2023-06-22,5.0
Wakefield,The Bronx,5087,1,No,2023-06-22,22379883,29061,485.5,Corner,R7D,,C2-4,,,MIH,5.6,162742,138,2023-06-22,5.0
Richmond Hill,Queens,9181,48,No,2023-06-22,2300000,6075,180.0,Corner,R4,R6A,C2-4,,,,,14157,162,2023-06-22,5.0
Williamsburg,Brooklyn,2415,"136, 16, 119",Yes,2023-06-21,7640000,9660,40.0,Interior ,M1-4/R6A,,,,MX8,VIH,2.7,26082,293,2023-06-21,5.0
Elmhurst,Queens,2453,42,No,2023-06-15,3200000,10329,203.92,Corner,C4-2,R6,,,,,3.4,49336,126,2023-06-15,5.0
Williamsburg,Brooklyn,2764,25,No,2023-06-15,6200000,2500,25.0,Interior ,R7A,,C2-4,,,VIH,3.45,8625,371,2023-06-15,5.0
Maspeth,Queens,2520,22,No,2023-06-14,4628893,30712,153.0,Interior ,M3-1,,,,,,2.0,60719,76,2023-06-14,5.0
Turtle Bay,Manhattan,1363,"1, 4",Yes,2023-06-14,46794135,9433,194.33,Corner,R10,,C1-5,,,,10.0,94330,496,2023-06-14,5.0
Williamsbridge,The Bronx,4853,1,No,2023-06-10,1610000,15057,257.0,Corner,R5D,R4,,,,,,25823,62,2023-06-10,5.0
New Lots,Brooklyn,4317,"11, 12, 13, 51, 52, 53, 54",Yes,2023-06-09,2300000,9694,250.0,Through,R6,,,,,,3.0,29082,76,2023-06-09,5.0
Midland Beach,Staten Island,3697,6,No,2023-06-09,2200000,13600,80.0,Interior ,C2-1,,,,,,0.5,6800,338,2023-06-09,5.0
Williamsburg,Brooklyn,2279,30,No,2023-06-08,8250000,21267,325.0,Corner,M1-1 ,M1-2,,,,,1.0,21267,388,2023-06-08,5.0
Morrisania,The Bronx,2387,"44, 49, 51",Yes,2023-06-07,8600000,27134,333.62,Corner,M1-1/R7-2,,,,MX7,,,78211,110,2023-06-07,5.0
Chelsea,Manhattan,699,14,No,2023-06-06,2600000,10374,110.0,Interior ,C6-3,,,,WCH,VIH,5.0,51870,472,2023-06-06,5.0
Gravesend,Brooklyn,7132,13,No,2023-06-06,24500000,4060,29.0,Interior ,R5,,,,OP,,1.25,5075,512,2023-06-06,5.0
Port Morris,The Bronx,2296,116,No,2023-06-05,8000000,2458,24.7,Interior ,M1-2/R6A,,,,MX1,,3.0,9383,128,2023-06-05,5.0
Forest Hills,Queens,2151,149,No,2023-06-05,1200000,7600,76.0,Interior ,R7-1,,,,,,3.44,31006,258,2023-06-05,5.0
Williamsburg,Brooklyn,3119,"3, 4, 5, 19",Yes,2023-06-05,11550000,12730,125.08,Through,C4-3,,,,,,3.4,43282,267,2023-06-05,5.0
Jamaica Estates,Queens,10499,59,No,2023-06-02,1094619,4500,45.0,Interior ,R6A,,,,DJ,,3.0,13500,81,2023-06-02,5.0
Downtown Flushing,Queens,4978,25,No,2023-06-01,1388000,154943,1119.88,Corner,C4-3,,,,,,3.44,533004,61,2023-06-01,5.0
East Williamsburg,Brooklyn,2926,16,No,2023-06-01,32750000,3894,166.08,Corner,M3-1,,,,,,2.0,7788,178,2023-06-01,5.0
Gravesend,Brooklyn,7095,49,No,2023-05-31,1690000,4000,140.0,Corner,R5B,,C2-3,,,,1.35,5400,313,2023-05-31,5.0
Bedford-Stuyvesant,Brooklyn,2020,68,No,2023-05-26,65000000,47100,370.7,Interior ,C6-3A,,,,,MIH,8.5,400350,162,2023-05-26,5.0
East New York,Brooklyn,4145,"37, 40",Yes,2023-05-24,7500000,10269,95.83,Interior ,R5,,C2-3,,,,1.25,12836,195,2023-05-24,5.0
Briarwood,Queens,9649,37,No,2023-05-24,2500000,11800,94.67,Interior ,R6A,,C1-4,,,,3.0,35400,212,2023-05-24,5.0
Morrisania,The Bronx,2388,59,No,2023-05-22,1300000,8760,49.21,Interior ,M1-1/R7-2,,,,MX7,,3.44,30134,43,2023-05-22,5.0
Rego Park,Queens,2076,50,No,2023-05-19,100000000,139558,991.69,Corner,R8,,C2-2,,,,,562633,126,2023-05-19,5.0
Gowanus,Brooklyn,424,"1, 12",Yes,2023-05-19,71060000,98776,1188.17,Corner,M1-4/R7-2,,,,G,MIH,4.4,594000,168,2023-05-19,5.0
Borough Park,Brooklyn,5348,"44, 45, 46, 47 ",Yes,2023-05-18,5771502,8000,80.0,Interior ,C4-4A,,,,,MIH,4.6,36800,157,2023-05-18,5.0
East Harlem,Manhattan,1667,120,No,2023-05-17,1218500,4161,55.0,Interior ,R9A,R7A,C2-5,,EHC/TA,MIH,8.5,35547,116,2023-05-17,5.0
Sheepshead Bay,Brooklyn,7460,96,No,2023-05-17,4125000,2499,25.0,Interior ,C4-2,,,,,,3.4,8696,140,2023-05-17,5.0
Ditmars Steinway,Queens,835,120,No,2023-05-16,3100000,4271,42.71,Interior ,C4-3A,,,,,,3.4,14521,213,2023-05-16,5.0
Old Astoria,Queens,575,23,No,2023-05-15,3700000,5201,50.0,Interior ,R6A,,C1-3,,,,3.0,15580,237,2023-05-15,5.0
Wingate,Brooklyn,4792,13,No,2023-05-12,3500000,9500,95.0,Interior ,R6,,,,,,3.0,28500,123,2023-05-12,5.0
Jamaica,Queens,9996,"10, 12",Yes,2023-05-09,8061617,10306,200.11,Corner,C6-3 ,,,,DJ,VIH,6.0,61836,130,2023-05-09,5.0
East Elmhurst,Queens,1362,6,No,2023-05-08,3125000,9999,200.0,Corner,R6B,,C1-3,,,,2.0,19998,156,2023-05-08,5.0
Flushing,Queens,4957,41,No,2023-05-05,4200000,4859,43.17,Interior ,R6,,,,,,,14143,297,2023-05-05,5.0
East Harlem,Manhattan,1773,20,No,2023-04-28,82000000,36227,560.83,Corner,C4-4D,,,,125TH/TA,VIH,5.4,418780,196,2023-04-28,4.75
Long Island City,Queens,267,21,No,2023-04-27,51228809,9999,100.0,Interior ,R9,,M1-5,,LIC,,8.0,384043,133,2023-04-27,4.75
Briarwood,Queens,9698,17,No,2023-04-27,13250000,34681,337.78,Corner,R6A,R4-1,C2-4,,DJ,,,84511,157,2023-04-27,4.75
Richmond Hill,Queens,9393,1,No,2023-04-25,3250000,9506,195.34,Corner,R6A,,C2-3,,,,3.0,28518,114,2023-04-25,4.75
Flushing,Queens,5345,"1, 4, 6",Yes,2023-04-20,2200000,11058,216.78,Corner,R2A,,,,,,0.5,5529,398,2023-04-20,4.75
Hell's Kitchen,Manhattan,1042,54,No,2023-04-18,15488000,9500,75.0,Through,R8,,,,CL,,4.2,39900,388,2023-04-18,4.75
College Point,Queens,4133,87,No,2023-04-06,1250000,5009,50.0,Interior ,M1-1,,,,,,1.0,5009,250,2023-04-06,4.75
Maspeth,Queens,8557,75,No,2023-04-03,4027725,10601,62.0,Interior ,M2-1,,,,,,2.0,21202,190,2023-04-03,4.75
Maspeth,Queens,2557,80,No,2023-03-31,13064288,39872,402.68,Corner,M2-1,,,,,,2.0,79744,164,2023-03-31,4.75
Cobble Hill,Brooklyn,408,41,No,2023-03-16,2600000,5000,150.0,Corner,R6B,,C2-4,,,,2.0,10000,260,2023-03-16,4.5
Jamaica,Queens,"9706, 9763","3, 5, 7, 9, 11, 13, 16, 17, 69",Yes,2023-03-14,30000000,66796,550.9,Corner,R7A,,C2-4,,DJ,VIH,3.45,230446,130,2023-03-14,4.5
Flatlands,Brooklyn,7810,"15, 14, 16, 17",Yes,2023-03-08,3000000,10998,400.0,Corner,R5,,C2-2,,,,1.25,13748,218,2023-03-08,4.5
Jamaica,Queens,10253,21,No,2023-02-15,1365000,4399,40.02,Interior ,R5D,,C2-4,,,,2.0,8798,155,2023-02-15,4.5
Maspeth,Queens,2670,34,No,2023-02-08,14000000,4738,46.0,Interior ,M1-1D,,,,,,1.65,7818,198,2023-02-08,4.5
Borough Park,Brooklyn,5294,25,No,2023-02-08,1230000,2284,24.0,Interior,M1-2,R6B,,,MX12,,2.0,4568,269,2023-02-08,4.5
Greenpoint,Brooklyn,2513,6,No,2023-02-08,1550000,10000,200.0,Corner,R7A,,C2-4,,,VIH,3.45,44403,315,2023-02-08,4.5
Arverne,Queens,16013,1,No,2023-02-02,5600000,32938,202.13,Interior ,R5D,,C3,C2-3,,,2.0,74849,75,2023-02-02,4.5
Long Island City,Queens,368,"21, 22",Yes ,2023-02-02,14120000,11529,230.81,Corner,R6A,R5B,M1-2,,LIC,,3.0,40843,346,2023-02-02,4.5
Old Astoria,Queens,598,"48, 52, 19, 20",Yes,2023-02-01,22000000,16277,200.16,Through,R6B,,C4-3,,,,,49206,213,2023-02-01,4.5
Astoria,Queens,735,"19, 20, 22, 33, 38",Yes,2023-02-01,10500000,68795,940.76,Corner,C8-1,,,,,,1.0,68795,320,2023-02-01,4.5
Long Island City,Queens,297,39,No,2023-01-30,1600000,2520,25.02,Interior ,M1-3,,,,,,5.0,12600,79,2023-01-30,4.25
Far Rockaway,Queens,15566,17,No,2023-01-30,1000000,9999,200.0,Corner,R5,,C1-2,,,,1.25,12499,128,2023-01-30,4.25
Inwood,Manhattan,2188,1,No,2023-01-27,27847660,90624,943.93,Corner,R8,R9A,C2-4,,IN,MIH,,544102,51,2023-01-27,4.25
Maspeth,Queens,2396,26,No,2023-01-25,1050000,2499,25.0,Interior ,R4-1,,,,,,0.75,1874,560,2023-01-25,4.25
East Harlem,Manhattan,1628,"57, 60, 62, 163",Yes,2023-01-24,21128641,19612,295.228,Corner,R7-2,,C1-5,,,,,123979,170,2023-01-24,4.25
Jamaica Estates,Queens,9950,64,No,2023-01-19,5180850,13199,80.0,Interior ,R6A,,C2-4,,DJ,,3.0,39536,131,2023-01-19,4.25
East New York,Brooklyn,3697,"1, 33",Yes,2023-01-07,9500000,38830,565.0,Corner,M1-4,,,,,,2.0,10500,905,2023-01-07,4.25
Jamaica,Queens,10026,34,Yes,2023-01-04,3415000,4998,50.0,Interior ,C6-3 ,,,,DJ,VIH,6.0,4057,842,2023-01-04,4.25
East New York,Brooklyn,3662,"52, 49, 48",Yes,2022-12-30,4005218,9597,212.0,Corner,C4-4L,,,,EC6,MIH,4.6,44146,91,2022-12-30,4.25
Mott Haven,The Bronx,2600,79,No,2022-12-29,17750000,27000,425.0,Through,M1-3,,,,,,5.0,212500,84,2022-12-29,4.25
Lower East Side,Manhattan,246,5,No,2022-12-28,40000000,20038,100.07,Interior ,C6-4,,,,,,12.0,589100,68,2022-12-28,4.25
Sheepshead Bay,Brooklyn,7479,"55, 4, 62",Yes,2022-12-27,5828563,10970,,Corner,R3-2,,,,,,0.5,5485,182,2022-12-27,4.25
Lenox Hill,Manhattan,1472,17,No,2022-12-27,1000000,7237,70.83,Interior ,R8B,,,,,,4.0,28948,201,2022-12-27,4.25
Melrose,The Bronx,2331,36,No,2022-12-22,2500000,7500,75.0,Interior,C4-4,,,,,,,27900,105,2022-12-22,4.25
Sunset Park,Brooklyn,5821,43,No,2022-12-22,2940000,8000,185.0,Corner,M1-1,,,,,,1.0,8000,313,2022-12-22,4.25
Long Island City,Queens,374,10,No,2022-12-21,3900000,4772,49.24,Interior ,R6A,,M1-3,,LIC,,3.0,14069,277,2022-12-21,4.25
Forest Hills,Queens,2127,55,No,2022-12-20,1900000,2272,130.75,Corner,R7-1 ,,,,,,3.44,9792,194,2022-12-20,4.25
Prospect Park South,Brooklyn,5100,66,No,2022-12-19,4250000,5625,,Interior,R7A,,,,,,4.0,22500,189,2022-12-19,4.25
East Harlem,Manhattan,1637,33,No,2022-12-16,8900000,5663,175.86,Corner,R9,,,,,MIH,9.0,92000,147,2022-12-16,4.25
East Harlem,Manhattan,1773,"4, 72",Yes,2022-12-16,13500000,2843,63.16,Interior ,C6-4,,,,125TH/TA,MIH,12.0,34116,261,2022-12-16,4.25
Flatiron District,Manhattan,818,56,No,2022-12-16,15500000,4140,45.0,Interior ,C6-4A,,,,,,10.0,41400,374,2022-12-16,4.25
Manhattanville,Manhattan,1723,53,No,2022-12-15,1274500,1998,20.0,Interior ,R6A,,,,125TH,,3.0,5994,213,2022-12-15,4.25
Brownsville,Brooklyn,3602,7,No,2022-12-12,3050000,26565,,Interior,R6,,C2-3,,,,,74443,87,2022-12-12,3.75
Williamsburg,Brooklyn,2417,25,No,2022-12-12,6500000,2484,,Interior,R6,,C2-3,,,,2.2,7400,412,2022-12-12,3.75
Belmont,The Bronx,3096,46,No,2022-12-09,1190000,5104,50.0,Interior,R7-1 ,,C2-4,,,,4.0,21145,56,2022-12-09,3.75
Bay Ridge,Brooklyn,6109,23,No,2022-12-07,5300000,10442,,Corner,R6B,,C2-3,,BR,,2.0,20884,254,2022-12-07,3.75
Williamsburg,Brooklyn,3050,4,No,2022-12-05,2175000,2250,,Interior,R6,,,,,,3.0,6698,325,2022-12-05,3.75
Laurelton,Queens,13100,22,No,2022-12-02,6955000,24518,312.41,Corner,R5D,,C2-3,,,,3.0,67658,103,2022-12-02,3.75
Hunters Point,Queens,430,"14, 18",No,2022-12-02,3450000,4740,42.8,Interior ,R7-3,,M1-5,,LIC,,5.0,23700,146,2022-12-02,3.75
East Harlem,Manhattan,1616,50,No,2022-11-30,2390000,2462,120.92,Corner,R8A,,C1-4,,,,6.02,14821,179,2022-11-30,3.75
Williamsburg,Brooklyn,2321,15,No,2022-11-30,2650000,2000,,Interior,M1-2/R6A,,,,MX8,VIH,2.7,5281,453,2022-11-30,3.75
Mount Hope,The Bronx,2803,9,No,2022-11-29,2750000,8200,85.0,Interior,R7-1 ,,,,,,3.44,28208,97,2022-11-29,3.75
Mott Haven,The Bronx,2344,"1, 11, 27",Yes,2022-11-23,37800000,42659,,Corner,C6-2A,,,,,VIH,5.4,306893,123,2022-11-23,3.75
Theater District,Manhattan,1000,64,No,2022-11-22,58890775,8067,91.0,Interior ,C6-7T,,,,MID,,10.0,80670,730,2022-11-22,3.75
Williamsburg,Brooklyn,2725,13,No,2022-11-21,8040000,6735,,Corner,R6,,C2-4,,,,3.0,25275,318,2022-11-21,3.75
Borough Park,Brooklyn,5450,"47, 48",Yes,2022-11-21,2700000,4382,,Corner,R5,,,,,,1.65,7230,373,2022-11-21,3.75
Little Neck,Queens,8164,"22, 122",Yes ,2022-11-17,1828000,19250,300.84,Corner,R1-2,,,,,,0.5,9325,196,2022-11-17,3.75
Old Astoria,Queens,531,11,No,2022-11-17,2600000,3423,25.02,Interior ,R7A,R5B,C2-3,,,,,11006,236,2022-11-17,3.75
Crown Heights,Brooklyn,1390,16,No,2022-11-16,2150000,4000,,Interior,R6,,,,,,2.2,8787,245,2022-11-16,3.75
Borough Park,Brooklyn,5531,29,No,2022-11-16,1300000,4000,40.0,Interior,M1-1,,,,,,1.0,4007,324,2022-11-16,3.75
Wakefield,The Bronx,4831,11,No,2022-11-14,1000000,5625,165.0,Corner,R6,,C2-4,,,,3.0,16875,59,2022-11-14,3.75
Kingsbridge Heights,The Bronx,3261,12,No,2022-11-11,1525000,10610,150.0,Through,R4A,R6,,,,,,20247,75,2022-11-11,3.75
Bay Ridge,Brooklyn,5936,9,Yes,2022-11-10,2300000,12545,61.24,Interior,R4A,,,,,,0.75,25800,109,2022-11-10,3.75
College Point,Queens,4064,1,No,2022-11-10,2810000,10000,200.0,Corner,R4-1,,,,,,0.75,7500,307,2022-11-10,3.75
Fort Greene,Brooklyn,2034,135,No,2022-11-09,8850000,24000,174.83,Interior,R6,,,,,,2.2,52800,168,2022-11-09,3.75
Gowanus,Brooklyn,433,14,No,2022-11-08,5600000,6400,64.0,Interior,M1-4/R6A,,,,G,MIH,3.6,23040,243,2022-11-08,3.75
Long Island City,Queens,408,1,No,2022-11-07,10370000,10020,200.21,Corner,R6A,,M1-2,,LIC,,3.0,37567,276,2022-11-07,3.75
College Point,Queens,4319,"1, 58",Yes ,2022-11-03,3375000,33320,365.0,Corner,M2-1,,,,CP,,2.0,65520,52,2022-11-03,3.75
Crown Heights,Brooklyn,1192,"41, 46",Yes,2022-11-02,42350000,64713,,Corner,R6A,,,,,,3.0,194139,218,2022-11-02,3.75
Corona,Queens,1768,40,No,2022-11-02,1320000,2592,25.0,Interior ,R6B,,,,,,2.0,5188,254,2022-11-02,3.75
East New York,Brooklyn,3978,"13, 14, 15",Yes,2022-11-01,2000000,12500,,Corner,M1-4/R6A,R5B,,,,MIH,3.6,45000,44,2022-11-01,3.75
Manhattanville,Manhattan,1984,28,No,2022-11-01,27523850,12490,99.0,Interior ,R7-2,,C1-4,,,,,387028,71,2022-11-01,3.75
Jamaica,Queens,9795,"65, 85, 30, 89, 130, 94, 98, 99",Yes ,2022-10-31,51450000,111800,1246.93,Corner,C4-5X,,,,DJ,VIH,3.75,419250,123,2022-10-31,3.0
Maspeth,Queens,2803,"75, 76, 78",Yes,2022-10-28,1600000,9642,85.67,Interior ,M1-1 ,,,,,,1.0,9642,280,2022-10-28,3.0
Williamsburg,Brooklyn,2404,32,No,2022-10-28,2700000,1269,25.0,Corner ,R6,,,,,VIH,2.2,2792,573,2022-10-28,3.0
East Village,Manhattan,400,23,No,2022-10-27,1675000,1859,19.33,Interior ,R7B,,,,,,3.0,5577,300,2022-10-27,3.0
Flatbush,Brooklyn,5136,66,No,2022-10-25,1000000,5844,33.33,Interior,R6,,,,,,2.2,12809,78,2022-10-25,3.0
Mill Basin,Brooklyn,8470,1140,No,2022-10-25,40500000,23500,372.0,Corner,R3-1,,,,,,0.5,117500,345,2022-10-25,3.0
Clinton Hill,Brooklyn,213,40,No,2022-10-21,2500000,2500,25.0,Interior,R7A,,C2-4,,,VIH,3.45,8820,283,2022-10-21,3.0
Flushing,Queens,4970,"1, 53",Yes,2022-10-20,14169860,29820,489.27,Corner,C4-2,,,,,,3.4,101388,140,2022-10-20,3.0
Bayside,Queens,"4175, 4179","17, 19, 22, 25",Yes,2022-10-20,4730000,17497,275.0,Corner,R3X,,,,,,0.5,8749,541,2022-10-20,3.0
Morrisania,The Bronx,2368,"35, 37",Yes,2022-10-19,6700000,4848,25.92,Interior,M1-1/R7-2  ,,,,MX-7,,,49777,76,2022-10-19,3.0
East New York,Brooklyn,3989,"1, 34, 36",Yes,2022-10-19,3780000,14500,,Corner,M1-1/R6A,,,,MX-16,MIH,3.6,52200,78,2022-10-19,3.0
Flatbush,Brooklyn,5065,88,No,2022-10-19,4066307,8400,42.0,Interior,R7-1,,,,,,3.44,48139,139,2022-10-19,3.0
Dyker Heights,Brooklyn,6309,7,No,2022-10-19,2550000,8400,,Corner,R5B,,,,,,1.35,11340,225,2022-10-19,3.0
Williamsburg,Brooklyn,2317,18,No,2022-10-14,3000000,2500,25.0,Interior,M1-2/R6B,,,,MX-8,VIH,2.0,5509,545,2022-10-14,3.0
Eastchester,The Bronx,5285,"2, 3",Yes,2022-10-13,14500000,173844,148.49,Corner,M1-1,,,,,,1.0,173844,83,2022-10-13,3.0
Lower East Side,Manhattan,397,7503,No,2022-10-11,36800000,33650,544.0,Interior ,R8A,,C2-5,,,VIH,5.4,167625,220,2022-10-11,3.0
Bedford Park,The Bronx,3315,31,No,2022-09-29,1375000,2375,25.0,Interior,R8,,,,,,6.02,8667,159,2022-09-29,3.0
Corona,Queens,1737,56,No,2022-09-28,1130000,3970,35.9,Interior ,R6A, R5A,C1-2,,,,3.0,11910,158,2022-09-28,3.0
Corona,Queens,1999,69,No,2022-09-28,1880000,2500,25.0,Interior ,R6B,,,,,,2.0,5000,226,2022-09-28,3.0
Corona,Queens,1754,20,No,2022-09-22,1125000,2000,20.0,Interior ,R5,,,,,,1.25,5000,225,2022-09-22,3.0
West Bronx,The Bronx,2526,40,No,2022-09-19,2000000,5380,224.42,Corner,R7-1,,,,,,3.44,18508,108,2022-09-19,2.25
Far Rockaway,Queens,15620,1,No,2022-09-14,2700000,18037,739.62,Corner,R5,,C1-3,,,,1.25,34745,78,2022-09-14,2.25
Gowanus,Brooklyn,438,7,No,2022-09-14,40650000,28500,480.0,Corner,M1-4/R7-2,,,,G,MIH,4.4,125400,324,2022-09-14,2.25
Sunnyside,Queens,1321,"7, 10",No,2022-09-13,2050000,4000,40.0,Interior ,R7A,,C2-3,,,MIH,4.6,18400,111,2022-09-13,2.25
Old Astoria,Queens,573,11,No,2022-09-09,4750000,9083,45.4,Interior ,R6A,R6B,,,,,,22708,209,2022-09-09,2.25
Parkchester,The Bronx,3933,84,No,2022-09-08,1525000,5150,50.0,Interior,R6,,C1-2,,,,2.2,11330,135,2022-09-08,2.25
Bedford-Stuyvesant,Brooklyn,1986,21,No,2022-09-08,1255000,2163,19.67,Interior,R6B,,,,,,2.0,4074,308,2022-09-08,2.25
Jamaica,Queens,9998,109,No,2022-09-02,1135000,2000,20.0,Interior ,C6-3 ,,,,DJ,,8.0,13492,84,2022-09-02,2.25
Sunset Park,Brooklyn,845,48,No,2022-09-01,1500000,3005,30.0,Interior,M1-2,,,,,,2.0,9066,165,2022-09-01,2.25
South Slope,Brooklyn,885,"65, 66",Yes,2022-08-30,2920000,4942,50.0,Interior,R6B,,,,,,2.0,9835,297,2022-08-30,2.25
Boerum Hill,Brooklyn,167,"26, 16",Yes,2022-08-25,2550000,15685,,Corner ,C6-4,,,,DB,,10.0,156850,163,2022-08-25,2.25
Old Astoria,Queens,505,"14, 24, 25, 26",Yes,2022-08-25,25500000,37117,542.38,Corner,R7A,R5B,C1-3,,,VIH,,116125,215,2022-08-25,2.25
Midwood,Brooklyn,6779,1,No,2022-08-25,25000000,23579,352.46,Corner,R5B,C4-4A,C1-2,,,,,63632,351,2022-08-25,2.25
Long Island City,Queens,460,1,No,2022-08-25,22349478,4377,136.51,Corner,M1-4 ,,,,,,2.0,5916,431,2022-08-25,2.25
Williamsburg,Brooklyn,2421,24,No,2022-08-24,4000000,3743,,Corner ,R6,,,,,,3.0,11181,358,2022-08-24,2.25
Brighton Beach,Brooklyn,8664,415,No,2022-08-22,2300000,4435,,Corner ,R6,,,,,,2.2,11029,129,2022-08-22,2.25
Borough Park,Brooklyn,5696,14,No,2022-08-22,1425000,4007,,Interior,R5,,,,,,1.65,4569,503,2022-08-22,2.25
Flushing,Queens,5032,18,No,2022-08-16,8600000,12236,259.23,Corner,R6A,R4-1,C2-2,,,,3.0,35186,244,2022-08-16,2.25
Downtown Brooklyn,Brooklyn,121,"33, 32",Yes,2022-08-16,3650000,4441,50.0,Interior,R6B,,,,,,2.0,8683,420,2022-08-16,2.25
Borough Park,Brooklyn,5733,36,No,2022-08-11,4330000,16000,,Corner ,M1-1 ,R5B,,,,,1.0,16000,271,2022-08-11,2.25
Williamsburg,Brooklyn,2238,41,No,2022-08-11,6300000,5001,50.0,Interior,R6A,,,,,VIH,2.7,13325,473,2022-08-11,2.25
Gravesend,Brooklyn,6915,44,No,2022-08-10,2250000,10150,221.95,Corner,R5,,,,,,1.25,12688,177,2022-08-10,2.25
Rego Park,Queens,3075,24,No,2022-08-03,144374697,12196,121.95,Interior ,R7-1 ,,C1-2,,,,4.0,57903,228,2022-08-03,2.25
Downtown Brooklyn,Brooklyn,149,"14, 15, 17, 19, 22",Yes,2022-08-03,13185150,46578,597.6,Corner,C6-4.5,,,,,,10.0,551693,262,2022-08-03,2.25
Sheepshead Bay,Brooklyn,7468,80,No,2022-07-28,1125000,10533,63.75,Interior,R4,,,,,,0.75,7900,142,2022-07-28,2.25
Long Island City,Queens,402,"30, 32",Yes,2022-07-27,19000000,17510,79.75,Interior ,R7X,,M1-3,,LIC,VIH,3.75,65663,289,2022-07-27,2.25
Downtown Brooklyn,Brooklyn,271,45,No,2022-07-26,11250000,3333,33.33,Interior,C5-4,,,,DB,VIH,10.0,33330,338,2022-07-26,2.25
Corona,Queens,1737,30,No,2022-07-22,2925000,5000,50.0,Interior ,R6A,,C1-4,,,,3.0,15000,195,2022-07-22,1.5
Long Island City,Queens,80,4,No,2022-07-20,68325000,17820,341.66,Corner,C5-3,,,,LIC,VIH,15.0,267300,256,2022-07-20,1.5
Bayside,Queens,6186,38,No,2022-07-20,1730000,11876,160.9,Corner,R2A,,,,,,0.5,5938,291,2022-07-20,1.5
Fordham,The Bronx,3156,"67, 68",Yes,2022-07-19,2550000,7303,50.0,Interior,R8,,,,,,6.02,43964,58,2022-07-19,1.5
Elmhurst,Queens,1503,48,No,2022-07-19,1399000,2472,25.75,Interior ,R7B,,,,,,3.0,7416,189,2022-07-19,1.5
Ridgewood,Queens,3540,"1, 20, 22",Yes ,2022-06-30,26000000,81119,807.5,Corner,M1-4 ,,,,,,2.0,162238,160,2022-06-30,1.5
Jamaica,Queens,9993,22,No,2022-06-29,1500000,1740,20.25,Interior ,C6-3 ,,,,DJ,VIH,8.0,13920,108,2022-06-29,1.5
East Williamsburg,Brooklyn,2916,8,No,2022-06-28,2600000,12625,,Corner ,R7A,,C2-4,,,VIH,3.45,43556,224,2022-06-28,1.5
Midwood,Brooklyn,6592,41,No,2022-06-28,9750000,4000,,Interior,C8-2,,,,OP,,2.0,8000,325,2022-06-28,1.5
Old Astoria,Queens,539,"32, 33",Yes,2022-06-21,7700000,6831,86.0,Interior ,R7X,,C2-3,,,,5.0,33837,228,2022-06-21,1.5
East New York,Brooklyn,4154,28,Yes,2022-06-16,9280000,38991,,Corner ,C4-4D,,,,EC-5,MIH,7.2,280735,33,2022-06-16,1.5
Greenpoint,Brooklyn,2482,"9, 53",Yes,2022-06-16,15129834,19600,210.1,Through,M1-2/R6,,,,MX-8,VIH,2.7,70000,216,2022-06-16,1.5
Greenpoint,Brooklyn,2727,47,No,2022-06-14,1700000,3741,60.67,Interior,R6,M1-2/R6A,,,MX-8,VIH,2.67,8191,208,2022-06-14,1.5
Greenpoint,Brooklyn,2495,12,No,2022-06-14,1750000,2500,,Interior ,R6B,,,,,,2.0,4999,350,2022-06-14,1.5
Jamaica,Queens,9693,60,No,2022-06-13,5320000,13675,75.0,Interior ,R7A,,,,DJ,,4.0,46533,114,2022-06-13,0.75
Flatbush,Brooklyn,5084,38,No,2022-06-10,6612245,8500,50.0,Interior,R7-1,,,,,,3.37,28605,231,2022-06-10,0.75
Kips Bay,Manhattan,885,19,No,2022-06-10,7075000,2469,124.69,Corner,C6-2A,,,,,,5.48,13526,523,2022-06-10,0.75
Kingsbridge,The Bronx,3254,72,No,2022-06-09,1725000,7325,173.42,Corner,R6A,,,,,,3.0,21611,80,2022-06-09,0.75
Williamsburg,Brooklyn,2404,1,No,2022-06-09,9000000,7500,175.0,Corner,R6,,,,,VIH,3.05,22874,393,2022-06-09,0.75
Maspeth,Queens,2444,"57, 8",Yes ,2022-06-08,5900000,11950,128.57,Through,R7X,,C2-3,,,VIH,3.75,44813,132,2022-06-08,0.75
Tremont,The Bronx,2953,6,No,2022-06-07,1500000,6750,75.0,Interior,R7-1,,,,,,3.39,32024,47,2022-06-07,0.75
Elmhurst,Queens,2906,"28, 27",Yes ,2022-06-06,1190000,5000,50.0,Interior ,R4,,,,,,0.75,3750,317,2022-06-06,0.75
