,,PRICE,PRICE,PRICE,PPZFA,PPZFA,PPZFA,Rate
,,count,sum,mean,mean,median,std,mean
Queens,South Astoria,2,80300080,40150040.0,262.0,262.0,82.02,2.75
Queens,South Ozone Park,2,48873438,24436719.0,418.0,418.0,29.7,2.75
Queens,Springfield Gardens,1,2450000,2450000.0,279.0,279.0,,5.25
Queens,Sunnyside,3,22550000,7516666.67,166.67,144.0,69.82,0.92
Queens,Whitestone,3,18665000,6221666.67,307.67,312.0,106.57,3.58
Queens,Woodside,4,40750000,10187500.0,188.0,191.0,40.75,2.75
Staten Island,Bloomfield,2,3800000,1900000.0,19.5,19.5,14.85,1.75
Staten Island,Brighton Heights,1,3600000,3600000.0,282.0,282.0,,2.0
Staten Island,"Charleston
",1,3500000,3500000.0,25.0,25.0,,2.5
Staten Island,Great Kills,1,1150000,1150000.0,94.0,94.0,,1.75
Staten Island,Huguenot,1,1350000,1350000.0,188.0,188.0,,2.25
Staten Island,Mariners Harbor,1,2585000,2585000.0,11.0,11.0,,2.0
Staten Island,Midland Beach,1,2200000,2200000.0,338.0,338.0,,5.0
Staten Island,New Dorp,1,12000000,12000000.0,72.0,72.0,,1.75
Staten Island,Port Ivory Howland Hook,1,1225000,1225000.0,40.0,40.0,,2.5
Staten Island,Rosebank,1,5650000,5650000.0,17.0,17.0,,2.5
Staten Island,St George,1,1951000,1951000.0,60.0,60.0,,2.5
Staten Island,Stapleton,1,1150000,1150000.0,64.0,64.0,,2.5
Staten Island,Stapleton Heights,2,4000000,2000000.0,71.0,71.0,9.9,2.0
The Bronx,Allerton,3,7800000,2600000.0,71.33,69.0,11.68,0.75
The Bronx,Baychester,1,1700000,1700000.0,114.0,114.0,,5.25
The Bronx,Bedford Park,8,42360005,5295000.62,85.5,69.5,35.11,1.97
The Bronx,Belmont,19,47015000,2474473.68,87.74,73.0,43.48,1.49
The Bronx,Bronxdale,1,7905000,7905000.0,77.0,77.0,,5.25
The Bronx,City Island,2,2650000,1325000.0,132.0,132.0,63.64,1.38
The Bronx,Claremont,1,5500000,5500000.0,123.0,123.0,,5.25
The Bronx,Concourse,5,47841000,9568200.0,78.0,71.0,46.36,3.0
The Bronx,Concourse Village,4,7250000,1812500.0,68.0,72.5,12.36,3.62
The Bronx,East Bronx,1,3200000,3200000.0,150.0,150.0,,0.25
The Bronx,Eastchester,4,24950000,6237500.0,71.75,67.0,41.29,2.0
